pid,user,process_name,local_port,remote_ip,remote_port,cpu_percent,memory_rss_mb,timestamp,status,tag
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.002827877082510447,58.14,2025-05-25 17:26:29.477215,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004693099565602609,26.42,2025-05-25 17:26:39.650419,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.004700650109385822,58.14,2025-05-25 17:26:39.650419,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.08185366323795687,26.5,2025-05-25 17:26:49.802115,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.0055226279121015414,58.14,2025-05-25 17:26:49.802115,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004195619552631265,26.45,2025-05-25 17:26:59.979556,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.010154537713756979,58.14,2025-05-25 17:26:59.979556,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0005873077853282146,26.44,2025-05-25 17:27:10.157615,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.022728415345323365,28.36,2025-05-25 17:27:10.157615,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.027038548872073173,58.14,2025-05-25 17:27:10.157615,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005148062692380648,26.45,2025-05-25 17:27:20.717210,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.005682638405685718,28.36,2025-05-25 17:27:20.717210,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.008773671516607733,58.14,2025-05-25 17:27:20.717210,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0030634818951965873,26.44,2025-05-25 17:27:30.891259,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.0027175029376170644,28.36,2025-05-25 17:27:30.891259,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.05707008458325592,58.14,2025-05-25 17:27:30.891259,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.002518799127236342,26.45,2025-05-25 17:27:41.064992,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.0028031384974346015,28.36,2025-05-25 17:27:41.064992,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.014219504356750458,58.14,2025-05-25 17:27:41.064992,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0010697462647316254,26.44,2025-05-25 17:27:51.175799,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.004073897225099839,28.36,2025-05-25 17:27:51.175799,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.006295680094501352,58.14,2025-05-25 17:27:51.175799,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0026246787029957914,26.44,2025-05-25 17:28:01.265887,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.008443613867667347,28.36,2025-05-25 17:28:01.265887,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.0025840810517628885,58.14,2025-05-25 17:28:01.265887,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0035249531619053584,26.44,2025-05-25 17:28:11.433461,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.0021678404503641022,28.36,2025-05-25 17:28:11.433461,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.004320562550258939,58.14,2025-05-25 17:28:11.433461,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004240511629366366,26.45,2025-05-25 17:28:21.608771,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.0045688534558076125,28.36,2025-05-25 17:28:21.608771,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.014663881698319855,58.14,2025-05-25 17:28:21.608771,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005099712852833624,26.47,2025-05-25 17:28:31.784038,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.05415469973541289,28.36,2025-05-25 17:28:31.784038,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.004469497225262079,58.14,2025-05-25 17:28:31.784038,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0012747532464655955,26.45,2025-05-25 17:28:41.955773,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.004620812821532537,28.36,2025-05-25 17:28:41.955773,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.010692545288083876,58.14,2025-05-25 17:28:41.955773,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.003359723386933137,26.44,2025-05-25 17:28:52.128012,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.009895472344192146,28.36,2025-05-25 17:28:52.128012,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.011869792409192257,58.14,2025-05-25 17:28:52.128012,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.0034323585265186906,26.44,2025-05-25 17:29:02.301304,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.001534998795961605,28.36,2025-05-25 17:29:02.301304,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.011829556294814412,58.14,2025-05-25 17:29:02.301304,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.003721667973169119,26.45,2025-05-25 17:29:12.474880,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.020133273974466775,28.36,2025-05-25 17:29:12.474880,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.012322536259954695,58.14,2025-05-25 17:29:12.474880,ESTABLISHED,normal
46300,keenan_salonga,ssh,52734,140.82.113.3,22,0.0,4.47,2025-05-25 17:29:12.474880,ESTABLISHED,normal
46300,keenan_salonga,ssh,52734,140.82.113.3,22,0.0,4.47,2025-05-25 17:29:12.474880,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.005947045948715588,26.33,2025-05-25 17:29:22.846911,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.017913893152595717,27.45,2025-05-25 17:29:22.846911,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.005280621710525584,57.2,2025-05-25 17:29:22.846911,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.001039698304773376,26.25,2025-05-25 17:29:33.028308,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.005951557016852012,27.22,2025-05-25 17:29:33.028308,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.002775886851679995,57.2,2025-05-25 17:29:33.028308,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.004474614894606713,26.25,2025-05-25 17:29:43.203434,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.002337310441476258,27.22,2025-05-25 17:29:43.203434,ESTABLISHED,normal
39942,keenan_salonga,Discord,52447,162.159.130.234,443,0.02254911480310882,57.2,2025-05-25 17:29:43.203434,ESTABLISHED,normal
1127,keenan_salonga,rapportd,50929,[fe80:e::1473:39ba:f38b:790],49963,0.003958929627869268,26.27,2025-05-25 17:29:53.384780,ESTABLISHED,normal
1486,keenan_salonga,Code\x20H,52706,20.42.73.25,443,0.011096061660016292,27.22,2025-05-25 17:29:53.384780,ESTABLISHED,normal
